[2024-11-15 10:33:46]	1.6.8	Por hacer cambios
[2024-11-16 10:52:52]	1.6.9	Funciona remmaining downloads para productos comprados
[2024-11-16 12:17:18]	1.6.10	LISTO
[2024-11-28 15:52:31]	1.6.15	BOM corrgido
[2024-12-03 19:22:17]	1.6.16	Files::forceDownload() actualizada
[2024-12-03 19:39:38]	1.6.17	Automatic update
[2024-12-04 17:03:27]	1.6.18	WCSubscriptions::getRenovationFrequency($uid)
[2024-12-04 17:08:12]	1.6.19	WCSubscriptions::getRenovationFrequency($uid)
[2024-12-04 19:46:03]	1.6.20	Automatic update
[2024-12-04 21:32:57]	1.6.21	Automatic update
[2024-12-13 22:43:05]	1.6.22	Expiracion de enlaces corregida
[2024-12-14 11:23:30]	1.6.23	Reparada tabla de Downloads. Aun falta que puedan actualizarse el contador remmaining
[2024-12-14 13:58:57]	1.6.24	Reparada tabla de Downloads: otro fix con un patch
[2024-12-14 15:08:13]	1.6.25	Reparado el contador de remaining para todos los casos
[2024-12-14 15:55:42]	1.6.26	Elimino row de productos no descargables de la tablita HTML
[2024-12-14 16:12:58]	1.6.27	Mas documentado el config.php
[2024-12-14 16:34:14]	1.6.28	Flag custom_table_shows_links_for_every_product_for_subscription --ok
[2024-12-14 18:10:00]	1.6.29	En proceso de REFACTORING...
[2024-12-14 18:47:01]	1.6.30	En proceso de REFACTORING......
[2024-12-14 20:35:19]	1.6.31	metodos revisados
[2024-12-14 21:24:24]	1.6.32	Products::getPurchasedProducts() corregida
[2024-12-15 18:09:28]	1.6.33	Products::getPurchasedProducts() mejorada
[2024-12-15 18:27:31]	1.6.34	Completado de downloableBySubscriptionPurchasableQuantity() con nuevo nombre
[2024-12-15 19:25:39]	1.6.35	Nueva correccion para downloableBySubscriptionPurchasableQuantity()
[2024-12-15 19:26:21]	1.6.36	Nueva correccion para downloableBySubscriptionPurchasableQuantity()
[2024-12-15 19:41:14]	1.6.37	Eliminada funcion duplicada para el mismo hook
[2024-12-15 20:15:50]	1.6.38	Enlace (boton rudimentario) en ficha de producto para Download de archivo. Funciona solo para productos comprados
[2024-12-15 20:51:03]	1.6.39	El boton de [Descargar] estaria OK con varias salvedades: 1) No tiene traduccion. 2) Se muestra solo en la pagina de producto. 3) EN TAXES4PRO es OTRO HTML
[2024-12-15 21:09:42]	1.6.40	Reemplazo del boton "Add to cart" por "[Download]" cuando corresponda en *CATALOGO*
[2024-12-15 21:09:51]	1.6.41	Reemplazo del boton "Add to cart" por "[Download]" cuando corresponda en -CATALOGO-
[2024-12-15 21:10:26]	1.6.42	Reemplazo del boton "Add to cart" por `[Download]` cuando corresponda en *CATALOGO*
[2024-12-15 21:10:39]	1.6.43	Reemplazo del boton `Add to cart` por `[Download]` cuando corresponda en *CATALOGO*
[2024-12-15 21:29:54]	1.6.44	Ajuste de funciones de traduccion con el dominio
[2024-12-15 21:42:14]	1.6.45	Se delega a otro archivo .php el reemplazo de botones de add-to-cart por el de Download (configurable)
[2024-12-15 21:57:18]	1.6.46	Constante TPL_SCRIPT_FILE en .env(s)
